N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
185,TIGER 미국테크TOP10 INDXX,"12,325",200,+1.65%,0,"14,205","115,250",0.47,"868,381",N/A,N/A,
186,LS ELECTRIC,"46,900",50,-0.11%,"5,000","14,070","30,000",16.12,"95,929",16.60,5.86,
187,한일시멘트,"20,300",450,-2.17%,500,"14,060","69,262",2.83,"360,417",17.89,5.89,
188,KODEX 종합채권(AA-이상)액티브,"105,490",155,-0.15%,0,"13,858","13,137",0.00,692,N/A,N/A,
189,롯데리츠,"5,700",10,+0.18%,500,"13,849","242,969",9.52,"187,740",75.00,1.59,
190,NHN,"36,800",200,-0.54%,500,"13,807","37,518",19.12,"59,468",42.49,1.35,
191,더존비즈온,"45,250",50,+0.11%,500,"13,748","30,383",34.86,"248,426",26.51,12.10,
192,한국앤컴퍼니,"14,000",50,+0.36%,500,"13,291","94,935",9.71,"47,858",5.37,5.08,
193,현대두산인프라코어,"6,720",40,-0.59%,"1,000","13,268","197,437",9.57,"782,456",2.94,24.63,
194,LX인터내셔널,"33,800",500,-1.46%,"5,000","13,101","38,760",24.65,"275,119",3.74,22.49,
195,PI첨단소재,"44,450",650,-1.44%,500,"13,053","29,366",11.52,"139,272",20.40,21.03,
196,삼성 레버리지 WTI원유 선물 ETN,"2,575",95,-3.56%,0,"12,978","504,000",0.00,"2,736,597",N/A,N/A,
197,TIGER MSCI Korea TR,"14,710",45,-0.30%,0,"12,960","88,100",0.00,349,N/A,N/A,
198,KODEX 2차전지산업,"18,895",415,+2.25%,0,"12,811","67,800",1.52,"2,459,673",N/A,N/A,
199,TIGER 미국필라델피아반도체나스닥,"11,580",445,+4.00%,0,"12,761","110,200",0.38,"1,533,873",N/A,N/A,
200,영풍,"686,000","7,000",+1.03%,"5,000","12,636","1,842",4.07,961,10.18,3.66,
